PERMNO,COMNAM,TICKER,Notes
10000,OPTIMUM MANUFACTURING INC,OMFGA,Original record
10001,GREAT FALLS GAS CO,GFGC,Original record
10001,ENERGY WEST INC,EWST,Company name and Ticker updated on 1993-11-30
10001,ENERGY INC,EGAS,Company name and Ticker updated on 2009-08-31
10001,GAS NATURAL INC,EGAS,Company name updated on 2010-07-30
10002,MOBILE NATIONAL CORP,MBNC,Original record
10002,SOUTH ALABAMA BANCORPORATION INC,SABC,Company name and Ticker updated on 1993-09-30
10002,BANCTRUST FINANCIAL GROUP INC,BTFG,Company name and Ticker updated on 2002-05-31
10003,GREAT COUNTRY BK ASONIA CT,GCBK,Original record
10005,WESTERN ENERGY RESOURCES INC,WERC,Original record
10006,A C F INDUSTRIES INC,ACF,Original record
10007,SHAREDATA INC,SDIC,Original record
10007,SHAREDATA INC,SDICV,Ticker updated on 1987-06-30
10007,SHAREDATA INC,SHRD,Ticker updated on 1989-02-28
10008,GARDENAMERICA CORP,GACO,Original record
10009,CAYUGA SAVINGS BANK NY,CAYB,Original record
10009,IROQUOIS BANCORP INC,IROQ,Company name and Ticker updated on 1990-03-30
10010,CABOT MEDICAL CORP,CBOT,Original record
10011,A T C ENVIRONMENTAL INC,ATCE,Original record
10011,A T C GROUP SERVICES INC,ATCS,Company name and Ticker updated on 1996-10-31
10012,DENSE PACIFIC MICROSYSTEMS INC,DPAC,Original record
10012,D P A C TECHNOLOGIES CORP,DPAC,Company name updated on 2001-08-31
10013,ARIZONA APPETITOS STORES INC,AAPI,Original record
10014,A J INDUSTRIES INC,AJ,Original record
10015,A & M FOOD SERVICES INC,AMFD,Original record
10016,FIGGIE INTERNATIONAL HLDGS INC,FIGIA,Original record
10016,FIGGIE INTERNATIONAL INC DEL,FIGIA,Company name updated on 1986-12-31
10016,SCOTT TECHNOLOGIES INC,SCTTA,Company name and Ticker updated on 1998-05-29
10016,SCOTT TECHNOLOGIES INC,SCTT,Ticker updated on 1998-12-31
10017,CONCURRENT COMPUTER CORP,CCUR,Original record
10018,DELTA COMPUTEC INC,DCIS,Original record
10019,I F R SYSTEMS INC,IFRS,Original record
10020,KEY CENTURION BANCSHARES,KEYC,Original record
10021,BRAINERD INTERNATIONAL INC,BIRI,Original record
10024,DOCUGRAPHIX INC,DOCX,Original record
10025,A E P INDUSTRIES INC,AEPI,Original record
10026,J & J SNACK FOODS CORP,JJSF,Original record
10027,TELECOMMUNICATIONS NETWORK INC,TNII,Original record
10028,CANYON STATE CORP,MINT,Original record
10028,AMERICAN PACIFIC MINT INC,MINT,Company name updated on 1986-06-30
10028,AMERICAN PACIFIC MINT INC,DLS,Ticker updated on 1992-03-31
10028,DALLAS GOLD & SILVER EXCHANGE IN,DLS,Company name updated on 1992-07-31
10028,DALLAS GOLD & SILVER EXCHANGE IN,DGSE,Ticker updated on 1999-06-30
10028,D G S E COMPANIES INC,DGSE,Company name updated on 2001-07-31
10028,D G S E COMPANIES INC,DGC,Ticker updated on 2007-10-31
10028,ENVELA CORP,ELA,Company name and Ticker updated on 2019-12-31
10029,A I F S INC,AIFS,Original record
10029,A I F S INC,AIF,Ticker updated on 1987-12-31
10030,AMERICAN BRAKE SHOE CO,ABK,Original record
10030,ABEX CORP,ABK,Company name updated on 1966-05-31
10031,A A IMPORTING INC,ANTQ,Original record
10032,PLEXUS CORP,PLXS,Original record
10033,MIDAMERICA BANCSYSTEM INC,MABK,Original record
10034,HOME & CITY SVGS BK ALBANY NY,HCSB,Original record
10035,GOOD GUYS INC,GGUY,Original record
10036,NEUROTECH CORP,NURO,Original record
10037,FRANKLIN S & L ASSN STHPLD MI,FSLA,Original record
10037,FRANKLIN SAVINGS BANK FSB,FSVB,Company name and Ticker updated on 1988-11-30
10037,FRANKLIN BANK NATL ASSOC,FSVB,Company name updated on 1991-09-30
10037,FRANKLIN BANCORP INC,FBCP,Company name and Ticker updated on 2002-10-31
10038,PORTS OF CALL INC,POCI,Original record
10038,P O C I INC,POCI,Company name updated on 1990-05-31
10039,XIOX CORP,XIOX,Original record
10039,AT COMM CORP,ATCM,Company name and Ticker updated on 2000-04-28
10040,HARVARD SECURITIES GROUP PLC,HARVY,Original record
10040,HARVARD GROUP PLC,HARVY,Company name updated on 1988-06-30
10041,4G DATA SYSTEMS INC,GGGG,Original record
10042,CANYON RESOURCES CORP,CYNR,Original record
10042,CANYON RESOURCES CORP,CAU,Ticker updated on 1996-08-30
10043,ANALYSIS & TECHNOLOGY INC,AATI,Original record
10044,ROCKY MOUNTAIN CHOCOLATE FAC INC,RMCF,Original record
10044,ROCKY MOUNTAIN CHOC FAC INC NEW,RMCF,Company name updated on 2015-03-31
10045,OLIVERS STORES INC,OLVR,Original record
10046,COMMERCIAL PROGRAMMING UNLMTD,CPUIA,Original record
10046,UNIVERSAL FRANCHISE OPPTYS CORP,MENU,Company name and Ticker updated on 1994-08-31
10047,TEXSTYRENE CORP,FOAM,Original record
10047,ARIS CORP,LMNT,Company name and Ticker updated on 1989-10-31
10047,LAMONTS CORP,LMNT,Company name updated on 1991-04-30
10047,LAMONTS APPAREL INC,LMNT,Company name updated on 1992-11-30
10048,CENTURY COMMUNICATIONS CORP,CCCO,Original record
10048,CENTURY COMMUNICATIONS CORP,CTY,Ticker updated on 1988-07-29
10048,CENTURY COMMUNICATIONS CORP,CTYA,Ticker updated on 1995-01-31
10050,AMERICAN BLDGS CO,ABLD,Original record
10050,A B C INVESTMENT CO,ABCC,Company name and Ticker updated on 1978-01-31
10051,SEQUEL CORP,SEQL,Original record
10051,HANGER ORTHOPEDIC GROUP INC,HOGG,Company name and Ticker updated on 1989-08-31
10051,HANGER ORTHOPEDIC GROUP INC,HNGR,Ticker updated on 1990-11-30
10051,HANGER ORTHOPEDIC GROUP INC,HGR,Ticker updated on 1991-05-31
10051,HANGER INC,HGR,Company name updated on 2012-06-29
10051,HANGER INC,HNGR,Ticker updated on 2018-09-28
10052,VIDEO LIBRARY INC,VLVL,Original record
10053,CARDINAL INDUSTRIES INC,CDNI,Original record
10054,BIO NUTRIONICS INC,BNUI,Original record
10055,GREAT AMERICAN RECREATION INC,GRAR,Original record
10056,NEW MILFORD SAVINGS BANK,NMSB,Original record
10056,NEWMIL BANCORP INC,NMSB,Company name updated on 1987-10-30
10056,NEWMIL BANCORP INC,NMIL,Ticker updated on 2000-10-31
10057,NATIONAL ACME CO,NCM,Original record
10057,ACME CLEVELAND CORP,AMT,Company name and Ticker updated on 1968-10-31
10057,ACME CLEVELAND CORP NEW,AMT,Company name updated on 1991-10-31
10058,A B K C O INDUSTRIES INC,ABKC,Original record
10059,ORANGE FREE STATE INVESTMENT LTD,OFSLY,Original record
10060,FREE STATE CONSOL GOLD CO LTD,FSCNY,Original record
10061,UNITED SAVINGS BANK VIENNA VA,USBK,Original record
10062,NORTHEAST OHIO AXLE INC,NOAX,Original record
10062,N E O A X INC,NOAX,Company name updated on 1986-05-30
10062,ENVIROSOURCE INC,ENSO,Company name and Ticker updated on 1989-11-30
10063,N M R CENTERS INC,NMRC,Original record
10063,AMERICAN HEALTH SVCS CORP,AHTS,Company name and Ticker updated on 1987-05-29
10064,TYCO TOYS INC,TTOY,Original record
10064,TYCO TOYS INC,TTI,Ticker updated on 1991-11-29
10065,ADAMS EXPRESS CO,ADX,Original record
10066,ABM COMPUTER SYS,ABMC,Original record
10066,FRANKLIN TELECOMMUNICATIONS CORP,FTCO,Company name and Ticker updated on 1987-02-27
10066,FRANKLIN TELECOMMUNICATIONS CORP,FCM,Ticker updated on 1999-03-31
10066,FRANKLIN WIRELESS CORP,FKWL,Company name and Ticker updated on 2021-03-31
10067,HYGEIA SCIENCES INC,HYGA,Original record
10068,AMERICAN PROPERTY GROUPS INC,APGI,Original record
10069,ACA JOE INTERCON LTD,AJIL,Original record
10070,DIGITEXT INC,DIGT,Original record
10071,ALEX BROWN INC,ABSB,Original record
10071,ALEX BROWN INC,AB,Ticker updated on 1992-03-31
10072,DEWS LABORATORIES INC,DEWS,Original record
10072,SUMMA RX LABORATORIES INC,SMRX,Company name and Ticker updated on 1988-01-29
10074,A B S INDUSTRIES INC,ABSI,Original record
10075,V W R CORP,VWRX,Original record
10075,V W R SCIENTIFIC PRODUCTS CORP,VWRX,Company name updated on 1995-09-29
10076,SCAT HOVERCRAFT INC,SCAT,Original record
10077,SPROUSE REITZ STORES INC,STRS,Original record
10078,SUN MICROSYSTEMS INC,SUNW,Original record
10078,SUN MICROSYSTEMS INC,JAVA,Ticker updated on 2007-08-31
10079,GENERAL COMPUTER CORP,GCCC,Original record
10080,MOORE HANDLEY INC,MHCO,Original record
10082,A C S ENTERPRISE INC,ACSE,Original record
10082,A C S ENTERPRISES,ACSE,Company name updated on 1992-12-31
10083,TEKNOWLEDGE INC,TKAI,Original record
10083,CIMFLEX TEKNOWLEDGE CORP,CMTK,Company name and Ticker updated on 1989-02-28
10084,CRAFTMATIC CONTOUR INDS INC,CRCC,Original record
10084,CRAFTMATIC INDUSTRIES INC,CRCC,Company name updated on 1993-07-30
10085,UNITED INSURANCE COS INC,UICI,Original record
10085,U I C I,UICI,Company name updated on 1996-07-31
10085,U I C I,UCI,Ticker updated on 1999-04-30
10086,L S B BANCSHARES INC SC,LBSC,Original record
10087,BEAUTICONTROL COSMETICS INC,BUTI,Original record
10088,V R BUSINESS BROKERS INC,VRBB,Original record
10089,SYNERCOM TECHNOLOGY INC,SYNR,Original record
10089,ALPHA TECHNOLOGIES GROUP INC,ATGI,Company name and Ticker updated on 1995-04-28
10090,AMERICAN MOBILE SYSTEMS INC,AMSE,Original record
10091,INTERACTIVE TECHNOLOGIES INC,ITXI,Original record
10092,LEISURE CONCEPTS INC,LCIC,Original record
10092,4 KIDS ENTERTAINMENT INC,KIDE,Company name and Ticker updated on 1995-11-30
10092,4 KIDS ENTERTAINMENT INC,KDE,Ticker updated on 2000-09-29
10093,ASSOCIATED INNS & REST CO AMER,AIRC,Original record
10093,AIRCOA HOSPITALITY SVCS INC,AIRC,Company name updated on 1987-12-31
10094,TUESDAY MORNING INC,TUES,Original record
10094,TUESDAY MORNING CORP,TUES,Company name updated on 1991-11-29
10095,SYNERGEN INC,SYGN,Original record
10096,CITIZENS BANK NC,CIBA,Original record
10097,FACELIFTERS HOME SYSTEMS INC,FACE,Original record
10097,FACELIFTERS HOME SYSTEMS INC,FIX,Ticker updated on 1994-05-31
10098,POLY TECH INC,PTEK,Original record
10098,POLY TECH INC,POLY,Ticker updated on 1986-09-30
10099,AMERICAN BIOMATERIALS CORP,ABCI,Original record
10100,AMERICAN CLAIMS EVALUATION INC,AMCE,Original record
10100,AMERICAN LEARNING CORP NY,ALRN,Company name and Ticker updated on 2010-03-31
10101,PACER CORP WA,PACR,Original record
10102,AIR REDUCTION INC,AN,Original record
10102,AIRCO INC,AN,Company name updated on 1971-10-29
10103,A C S INDUSTRIES INC,ACSC,Original record
10104,ORACLE SYSTEMS CORP,ORCL,Original record
10104,ORACLE CORP,ORCL,Company name updated on 1995-06-30
10105,TOPS MARKETS INC,TPPS,Original record
10106,LINCOLN SAVINGS BANK CARNEGIE PA,LNSB,Original record
10107,MICROSOFT CORP,MSFT,Original record
10108,SUNGARD DATA SYSTEMS INC,SNDT,Original record
10108,SUNGARD DATA SYSTEMS INC,SDS,Ticker updated on 1997-06-30
10109,FIRST FED S & L ASSN COEUR ID,FCDA,Original record
10109,MOUNTAIN WEST SAVINGS BANK F S B,MWSB,Company name and Ticker updated on 1989-08-31
10112,IFEX INC,IFEX,Original record
10113,ADVISORSHARES TRUST,AADR,Original record
10114,ACCLAIM ENTERTAINMENT INC,AKLM,Original record
10115,COMMUNITY SAVINGS BANK MA,CSBN,Original record
10116,HALSEY DRUG INC,HADR,Original record
10116,HALSEY DRUG INC,HDG,Ticker updated on 1988-11-30
10116,ACURA PHARMACEUTICALS INC,ACUR,Company name and Ticker updated on 2008-02-29
10117,U M B EQUITIES INC,UMBE,Original record
10118,CONSOLIDATED HYDRO INC,COHY,Original record
10119,20TH CENTURY INDUSTRIES CA,TWEN,Original record
10119,20TH CENTURY INDUSTRIES,TW,Company name and Ticker updated on 1991-09-30
10119,21ST CENTURY INSURANCE GROUP,TW,Company name updated on 2000-01-31
10120,PIPER JAFFRAY INC,PIPR,Original record
10120,PIPER JAFFRAY INC,PJC,Ticker updated on 1992-02-28
10120,PIPER JAFFRAY COS INC,PJC,Company name updated on 1993-02-26
10121,MARINE CORP IL,MCOR,Original record
10122,MEDFORD SVGS BK MA,MSBK,Original record
10122,REGIONAL BANCORP INC,REGB,Company name and Ticker updated on 1987-08-31
10122,MEDFORD SAVINGS BANK,MDBK,Company name and Ticker updated on 1993-07-30
10122,MEDFORD BANCORP INC,MDBK,Company name updated on 1997-11-28
10123,ACKERLEY COMMUNICATIONS INC,ACMI,Original record
10123,ACKERLEY COMMUNICATIONS INC,AK,Ticker updated on 1989-09-29
10123,ACKERLEY GROUP INC,AK,Company name updated on 1997-02-28
10124,LEARNING TECHNOLOGY INC,LERN,Original record
10125,DISCOVERY ASSOCIATES INC,DIVY,Original record
10125,LEOS INDUSTRIES INC,LEOS,Company name and Ticker updated on 1988-09-30
10125,LEOS INDUSTRIES INC,LI,Ticker updated on 1989-12-29
10126,ONE VALLEY BANCORP WEST VA INC,OVWV,Original record
10126,ONE VALLEY BANCORP INC,OVWV,Company name updated on 1996-05-31
10126,ONE VALLEY BANCORP INC,OV,Ticker updated on 1997-05-30
10127,PARIS BUSINESS FORMS INC,PBFI,Original record
10128,LA MAN CORP,LAMN,Original record
10128,DISPLAY TECHNOLOGIES INC,DTEK,Company name and Ticker updated on 1998-11-30
10130,NEWNAN FEDERAL S & L ASSN GA,NFSL,Original record
10130,NEWNAN SAVINGS BANK FSB,NFSL,Company name updated on 1990-01-31
10130,NEWNAN HOLDINGS INC,NFSL,Company name updated on 1996-08-30
10130,FIRST CITIZENS CORP,FSTC,Company name and Ticker updated on 1997-01-31
10131,S B T CORP CT,SBTC,Original record
10132,NATIONAL INDUSTRIAL BANCORP INC,NIBC,Original record
10133,TELEQUEST INC,TELQ,Original record
10134,EMPIRE GAS CORP NEW,EGCB,Original record
10135,FIRST FEDERAL SVGS ARKANSAS FA,FARK,Original record
10136,COMMUNICATION CABLE INC,CABL,Original record
10137,ALLEGHENY POWER SYSTEMS INC,AYP,Original record
10137,ALLEGHENY ENERGY INC,AYE,Company name and Ticker updated on 1997-10-31
10138,T ROWE PRICE ASSOC INC,TROW,Original record
10138,T ROWE PRICE GROUP INC,TROW,Company name updated on 2000-12-29
10139,ADMIRAL FINANCIAL CORP,ADFC,Original record
10140,SEALRIGHT COMPANY INC,SRCO,Original record
10141,GANDER MOUNTAIN INC,GNDR,Original record
10142,IMTEC INC,IMTC,Original record
10143,ONCOGENE SCIENCE INC,ONCS,Original record
10143,O S I PHARMACEUTICALS INC,OSIP,Company name and Ticker updated on 1997-10-31
10144,NATIONAL INSTITUTE CAREERS INC,NICE,Original record
10145,ALLIED CHEMICAL CORP,ACD,Original record
10145,ALLIED CORP,ALD,Company name and Ticker updated on 1981-04-30
10145,ALLIED SIGNAL INC,ALD,Company name updated on 1985-09-30
10145,HONEYWELL INTERNATIONAL INC,HON,Company name and Ticker updated on 1999-12-31
10146,APPLICATION ENGR CORP,APLI,Original record
10146,A E C INC,AECE,Company name and Ticker updated on 1982-08-31
10147,E M C CORP MA,EMCS,Original record
10147,E M C CORP MA,EMC,Ticker updated on 1988-03-31
10148,TRADITIONAL INDUSTRIES INC,TRAD,Original record
10149,EAGLE BANCSHARES INC,EBSI,Original record
10150,TRANS LEASING INTL INC,TLII,Original record
10150,TLII LIQUIDATING CORP,TLII,Company name updated on 1997-12-31
10151,ADVISORSHARES TRUST,GRV,Original record
10151,ADVISORSHARES TRUST,AGLS,Ticker updated on 2011-12-30
10152,ADVANCE DISPLAY TECHNOLOGIES INC,ADTI,Original record
10153,ALLIS CHALMERS MFG CO,AH,Original record
10153,ALLIS CHALMERS CORP,AH,Company name updated on 1971-05-28
10154,AMERICAN ELECTR LABS INC,AELB,Original record
10154,A E L INDUSTRIES INC,AELNA,Company name and Ticker updated on 1976-10-29
10155,ELECTRIC & GAS TECHNOLOGY INC,ELGT,Original record
10156,HANSON JOHN S & L INC,JHSL,Original record
10156,HANSON JOHN SAVINGS BANK FSB,JHSL,Company name updated on 1986-08-29
10156,HANSON JOHN BANCORP INC,JHSL,Company name updated on 1990-11-30
10157,NORTH SIDE SAVINGS BANK BRONX,NSBK,Original record
10158,AMERESCO INC,AMRC,Original record
10159,INTERFERENCE CONTROL TECHS IND,ICTX,Original record
10160,SANDSPORT DATA SERVICES INC,SAND,Original record
10160,SANDATA INC,SAND,Company name updated on 1987-07-31
10160,SANDATA INC,SANDV,Ticker updated on 1992-05-29
10160,SANDATA TECHNOLOGIES,SAND,Company name updated on 2001-11-30
10161,AMERICAN METAL CLIMAX INC,AMX,Original record
10161,AMAX INC,AMX,Company name updated on 1974-06-28
10162,A E S TECHNOLOGY SYSTEMS INC,AEST,Original record
10163,X RITE INC,XRIT,Original record
10164,CAMBRIDGE ANALYTICAL ASSOC INC,CAAN,Original record
10165,LAFAYETTE BANCORP INC,LBNK,Original record
10166,LONG LAKE ENERGY CORP,LLEC,Original record
10167,ENCHANTED VILLAGE INC,EVIAA,Original record
10167,ENCHANTED VILLAGE INC,EVAA,Ticker updated on 1987-04-30
10168,ARNOX CORP,ARNX,Original record
10169,SPORTS MARKETING INC,PADS,Original record
10170,FAMILY STEAK HOUSES FL INC,RYFL,Original record
10171,CHARTWELL GROUP LTD,CTWL,Original record
10172,GRANITE COOP BK NORTH QUINCY MA,GNTE,Original record
10173,SEABOARD SAVINGS & L ASSN VA BCH,SEAB,Original record
10173,SEABOARD BANCORP INC,SEAB,Company name updated on 1990-11-30
10174,JEFFERSON NATIONAL BANK NY,JNBK,Original record
10175,BARRYS JEWELERS INC,BARY,Original record
10176,THERMAL EXPLORATION CO,TECC,Original record
10177,INVESTMENT RES & TECHNOLOGY INC,SFNS,Original record
10177,SPEAR FINANCIAL SERVICES INC,SFNS,Company name updated on 1986-06-30
10177,SPEAR FINANCIAL SERVICES INC,JMCG,Ticker updated on 1993-04-30
10177,J M C GROUP INC,JMCG,Company name updated on 1993-06-30
10177,FECHTOR DETWILER MITCHELL & CO,FEDM,Company name and Ticker updated on 1999-09-30
10177,DETWILER MITCHELL & CO,DMCO,Company name and Ticker updated on 2001-03-30
10178,WESTERN PUBLISHING GROUP INC,WPGI,Original record
10178,GOLDEN BOOKS FAMILY ENT INC,GBFE,Company name and Ticker updated on 1996-05-31
10179,ROCHESTER COMMUNITY SVGS BK NY,RCSB,Original record
10179,R C S B FINANCIAL INC,RCSB,Company name updated on 1995-09-29
10180,AKORN INC,AKRN,Original record
10180,AKORN INC,AKN,Ticker updated on 2004-11-30
10180,AKORN INC,AKRX,Ticker updated on 2007-02-28
10181,MUNICIPAL DEVELOPMENT CORP,MUNI,Original record
10182,TECH DATA CORP,TECD,Original record
10183,E R C INDUSTRIES INC,ERCO,Original record
10184,ALFA INTERNATIONAL CORP,ALFE,Original record
10185,MERRILL CORP,MRLL,Original record
10186,SOUTHWEST CAPITAL CORP,SWCC,Original record
10187,HEALTHPLEX INC,HPLX,Original record
10188,AMERICAN BOSCH ARMA CORP,AB,Original record
10188,AMBAC INDUSTRIES INC,AB,Company name updated on 1968-04-30
10189,A F A PROTECTIVE SYSTEMS INC,AFAP,Original record
10190,COLOROCS CORP,CLRX,Original record
10191,TEXCEL INTERNATIONAL INC,TXEL,Original record
10192,M S CARRIERS INC,MSCA,Original record
10193,RUBICON CORP,RBCN,Original record
10193,OSPREY HOLDING INC,OSPY,Company name and Ticker updated on 1992-12-31
10194,SOMERSET GROUP INC,SOMR,Original record
10195,C TEC CORP,CTEXB,Original record
10195,COMMONWEALTH TELE ENTRPS INC,CTCOB,Company name and Ticker updated on 1997-10-31
10196,AMERICAN & FGN PWR INC,AF,Original record
10198,DEL PAINT CORP,DELA,Original record
10199,ARBOR DRUGS INC,ARBR,Original record
10200,REPLIGEN CORP,RGEN,Original record
10201,ATLANTIC POWER CORP,AT,Original record
10202,CAPITAL WIRE & CABLE CORP,CWCC,Original record
10203,PIONEER SAVINGS BANK INC NC,PSBN,Original record
10203,PIONEER BANCORP INC,PSBN,Company name updated on 1988-12-30
10204,UNITEL CORP,UNTL,Original record
10205,LAWRENCE SAVINGS BANK,LSBX,Original record
10205,INTREX FINANCIAL SERVICES INC,TREX,Company name and Ticker updated on 1988-01-29
10205,LAWRENCE SAVINGS BANK NEW,LSBX,Company name and Ticker updated on 1991-10-31
10205,L S B CORP,LSBX,Company name updated on 2001-07-31
10206,EDUCATION SYSTEMS & PUB CORP,ESPC,Original record
10207,AMERICAS ALL SEASON FUND INC,FUND,Original record
